CRN,Subj,Crse,Sec,Type,Title,Days,Time,Instructor,Location
1616,CHEE,204,001,Lecture,Chemical Engineering Principles 2.,MW,04:05 pm-05:25 pm,Jan   Kopyscinski,ARTS W-120
1617,CHEE,204,002,Tutorial,Chemical Engineering Principles 2.,F,09:35 am-11:25 am,Jan   Kopyscinski,WONG 1020
1618,CHEE,220,001,Lecture,Chemical Engineering Thermodynamics.,MW,11:35 am-12:55 pm,Pierre-Luc   Girard-Lauriault,LEA 232
1620,CHEE,220,003,Tutorial,Chemical Engineering Thermodynamics.,F,11:35 am-12:25 pm,Pierre-Luc   Girard-Lauriault,WONG 1020
1621,CHEE,310,001,Lecture,Physical Chemistry for Engineers.,TR,08:35 am-09:55 am,Sasha   Omanovic,WONG 1020
1622,CHEE,315,001,Lecture,Heat and Mass Transfer.,MW,10:05 am-11:25 am,Phillip   Servio,WONG 1020
1623,CHEE,315,002,Tutorial,Heat and Mass Transfer.,F,08:35 am-09:25 am,Phillip   Servio,WONG 1020
1624,CHEE,351,001,Lecture,Separation Processes.,MW,01:05 pm-02:25 pm,Ali   Seifitokaldani,RPHYS 118
1625,CHEE,351,002,Tutorial,Separation Processes.,F,01:35 pm-02:25 pm,Ali   Seifitokaldani,WONG 1020
1627,CHEE,401,001,Lecture,Energy Systems Engineering.,TR,01:05 pm-02:25 pm,Sam Cole  Huberman,ARTS 260
1628,CHEE,401,002,Tutorial,Energy Systems Engineering.,R,04:35 pm-05:25 pm,TBA,WONG 1020
1629,CHEE,440,001,Lecture,Process Modelling.,MW,08:35 am-09:55 am,Alejandro D   Rey,WONG 1020
1630,CHEE,440,002,Tutorial,Process Modelling.,T,04:35 pm-05:25 pm,Alejandro D   Rey,WONG 1020
1631,CHEE,474,001,Lecture,Biochemical Engineering.,TR,11:35 am-12:55 pm,Corinne   Hoesli,ARTS 150
1632,CHEE,474,002,Tutorial,Biochemical Engineering.,M,03:35 pm-04:25 pm,Corinne   Hoesli,ENGMC 11
1633,CHEE,484,001,Lecture,Materials Engineering.,TR,10:05 am-11:25 am,Anne-Marie   Kietzig,WONG 1020
1634,CHEE,484,002,Tutorial,Materials Engineering.,F,12:35 pm-01:25 pm,TBA,WONG 1020
1635,CHEE,491,001,Lecture,Instrumentation and Measurement 2.,MW,01:05 pm-02:25 pm,"Rich   Leask , Christopher   Moraes",WONG 1020
1636,CHEE,491,002,Laboratory,Instrumentation and Measurement 2.,MW,02:35 pm-03:25 pm,"Rich   Leask , Christopher   Moraes",WONG 1020
1640,CHEE,511,001,Lecture,Catalysis for Sustainable Fuels and Chemicals.,MW,10:05 am-11:25 am,Jan   Kopyscinski,WONG 1030
1641,CHEE,512,001,Lecture,Stem Cell Bioprocess Engineering.,MW,10:05 am-11:25 am,Corinne   Hoesli,SH680 355
1642,CHEE,582,001,Lecture,Polymer Science and Engineering.,MW,11:35 am-12:55 pm,Milan   Maric,WONG 1030
1643,CHEE,611,001,Lecture,Heat and Mass Transfer.,TR,10:05 am-11:25 am,Reghan James   Hill,FERR 105
1646,CHEE,687,001,Lecture,Research Skills and Ethics.,F,08:35 am-10:25 am,Christopher   Moraes,LEA 116
1647,CHEE,687,002,Tutorial,Research Skills and Ethics.,F,10:35 am-11:25 am,Christopher   Moraes,LEA 116
1657,CHEM,120,001,Lecture,General Chemistry 2.,MWF,10:35 am-11:25 am,"Pallavi   Sirjoosingh , Sam   Sewall , Paul William  Wiseman",LEA 132
1658,CHEM,120,002,Lecture,General Chemistry 2.,TR,10:05 am-11:25 am,"Pallavi   Sirjoosingh , Sam   Sewall , Paul William  Wiseman",ADAMS AUD
1659,CHEM,120,003,Laboratory,General Chemistry 2.,T,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1660,CHEM,120,004,Laboratory,General Chemistry 2.,F,11:35 am-01:55 pm,Jean-Marc   Gauthier,MAASS 1
1661,CHEM,120,005,Laboratory,General Chemistry 2.,W,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1662,CHEM,120,006,Laboratory,General Chemistry 2.,R,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1663,CHEM,120,007,Laboratory,General Chemistry 2.,R,11:35 am-01:55 pm,Jean-Marc   Gauthier,MAASS 1
1664,CHEM,120,008,Laboratory,General Chemistry 2.,F,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1665,CHEM,120,009,Laboratory,General Chemistry 2.,W,11:35 am-01:55 pm,Jean-Marc   Gauthier,MAASS 1
1666,CHEM,120,010,Laboratory,General Chemistry 2.,M,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1667,CHEM,122,001,Laboratory,General Chemistry Laboratory 2.,R,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1668,CHEM,122,002,Laboratory,General Chemistry Laboratory 2.,F,02:35 pm-04:55 pm,Jean-Marc   Gauthier,MAASS 1
1669,CHEM,181,001,Lecture,World of Chemistry: Food.,T,TBA,"David Noble   Harpp , Joseph A   Schwarcz",TBA
1670,CHEM,204,001,Lecture,Physical Chemistry/Biological Sciences 1.,TR,11:35 am-12:55 pm,Lucas   Caire da Silva,MAASS 10
7508,CHEM,204,002,Midterm Exam,Physical Chemistry/Biological Sciences 1.,M,06:05 pm-08:25 pm,Lucas   Caire da Silva,MAASS 112
7511,CHEM,204,003,Tutorial,Physical Chemistry/Biological Sciences 1.,W,05:35 pm-06:55 pm,Lucas   Caire da Silva,MAASS 10
1677,CHEM,214,001,Lecture,Physical Chemistry/Biological Sciences 2.,MWF,09:35 am-10:25 am,Linda G   Reven,ARTS W-120
1678,CHEM,219,001,Lecture,Introduction to Atmospheric Chemistry.,MWF,08:35 am-09:25 am,Thomas Colin  Preston,ENGTR 1080
1679,CHEM,222,001,Lecture,Introductory Organic Chemistry 2.,TR,10:05 am-11:25 am,Laura   Pavelka,LEA 132
1680,CHEM,222,002,Lecture,Introductory Organic Chemistry 2.,TR,10:05 am-11:25 am,"Nathan   Luedtke , Laura   Pavelka",ARTS W-215
1681,CHEM,222,003,Laboratory,Introductory Organic Chemistry 2.,W,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1682,CHEM,222,004,Laboratory,Introductory Organic Chemistry 2.,T,02:35 pm-06:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1683,CHEM,222,005,Laboratory,Introductory Organic Chemistry 2.,M,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1684,CHEM,222,006,Laboratory,Introductory Organic Chemistry 2.,R,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1685,CHEM,222,007,Laboratory,Introductory Organic Chemistry 2.,F,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1687,CHEM,233,001,Lecture,Topics in Physical Chemistry.,MW,10:05 am-11:25 am,Theo   Van de Ven,MAASS 217
1688,CHEM,234,001,Lecture,Topics in Organic Chemistry.,TR,10:05 am-11:25 am,Laura   Pavelka,LEA 132
1689,CHEM,244,002,Laboratory,Organic Chemistry Laboratory 2.,M,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1690,CHEM,244,003,Laboratory,Organic Chemistry Laboratory 2.,W,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1691,CHEM,244,004,Laboratory,Organic Chemistry Laboratory 2.,F,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1692,CHEM,244,005,Laboratory,Organic Chemistry Laboratory 2.,W,08:35 am-12:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1693,CHEM,244,006,Laboratory,Organic Chemistry Laboratory 2.,T,02:35 pm-06:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1694,CHEM,244,007,Laboratory,Organic Chemistry Laboratory 2.,R,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 128
1695,CHEM,253,001,Laboratory,Introductory Physical Chemistry Laboratory.,M,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
1696,CHEM,253,002,Laboratory,Introductory Physical Chemistry Laboratory.,T,02:35 pm-05:25 pm,Jean-Marc   Gauthier,MAASS 100
1697,CHEM,253,003,Laboratory,Introductory Physical Chemistry Laboratory.,W,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
1698,CHEM,253,004,Laboratory,Introductory Physical Chemistry Laboratory.,R,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
1699,CHEM,273,001,Lecture,Introductory Physical Chemistry 2: Kinetics and Methods.,MWF,10:35 am-11:25 am,Eric Russell   McCalla,BIRKS 203
1700,CHEM,273,002,Laboratory,Introductory Physical Chemistry 2: Kinetics and Methods.,M,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
1701,CHEM,273,003,Laboratory,Introductory Physical Chemistry 2: Kinetics and Methods.,T,02:35 pm-05:25 pm,Jean-Marc   Gauthier,MAASS 100
1702,CHEM,273,004,Laboratory,Introductory Physical Chemistry 2: Kinetics and Methods.,W,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
1703,CHEM,273,005,Laboratory,Introductory Physical Chemistry 2: Kinetics and Methods.,R,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
6902,CHEM,273,007,Laboratory,Introductory Physical Chemistry 2: Kinetics and Methods.,F,01:35 pm-04:25 pm,Jean-Marc   Gauthier,MAASS 100
7025,CHEM,273,008,Midterm Exam,Introductory Physical Chemistry 2: Kinetics and Methods.,T,06:05 pm-07:55 pm,Eric Russell   McCalla,MAASS 217
1704,CHEM,281,001,Lecture,Inorganic Chemistry 1.,MWF,08:35 am-09:25 am,Marc-Andre   L̩gar̩,MAASS 10
1705,CHEM,332,001,Lecture,Biological Chemistry.,TR,08:35 am-09:55 am,Karine   Auclair,MAASS 328
7018,CHEM,332,002,Midterm Exam,Biological Chemistry.,T,06:05 pm-08:55 pm,Karine   Auclair,MAASS 217
1706,CHEM,334,001,Lecture,Advanced Materials.,TR,11:35 am-12:55 pm,Matthew James  Harrington,MAASS 328
1707,CHEM,355,001,Lecture,Applications of Quantum Chemistry.,MTR,10:35 am-11:25 am,Bradley John  Siwick,MAASS 328
1708,CHEM,362,001,Laboratory,Advanced Organic Chemistry Laboratory.,M,01:35 pm-05:25 pm,"Mitch John  Huot , Danielle Kristine  Vlaho",MAASS 121
1709,CHEM,362,002,Laboratory,Advanced Organic Chemistry Laboratory.,T,01:35 pm-05:25 pm,"Mitch John  Huot , Danielle Kristine  Vlaho",MAASS 121
1710,CHEM,362,003,Laboratory,Advanced Organic Chemistry Laboratory.,W,01:35 pm-05:25 pm,"Mitch John  Huot , Danielle Kristine  Vlaho",MAASS 121
1711,CHEM,365,001,Lecture,Statistical Thermodynamics.,MWF,11:35 am-12:25 pm,Yelena   Simine,ENGTR 2120
1712,CHEM,377,001,Lecture,Instrumental Analysis 2.,WF,12:35 pm-01:25 pm,Thomas Colin  Preston,BURN 708
1713,CHEM,377,002,Laboratory,Instrumental Analysis 2.,W,01:35 pm-05:25 pm,"Pallavi   Sirjoosingh , Sam   Sewall",MAASS 125
1714,CHEM,377,004,Laboratory,Instrumental Analysis 2.,M,01:35 pm-05:25 pm,"Pallavi   Sirjoosingh , Sam   Sewall",MAASS 125
1715,CHEM,377,005,Laboratory,Instrumental Analysis 2.,T,01:35 pm-05:25 pm,"Pallavi   Sirjoosingh , Sam   Sewall",MAASS 125
1716,CHEM,392,002,Laboratory,Experimental Chemistry 1.,R,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 100
1717,CHEM,392,003,Laboratory,Experimental Chemistry 1.,F,01:35 pm-05:25 pm,"Danielle Kristine  Vlaho , Mitch John  Huot",MAASS 100
1718,CHEM,392,004,Tutorial,Experimental Chemistry 1.,M,09:35 am-10:25 am,TBA,MAASS 100
1721,CHEM,462,001,Lecture,Green Chemistry.,MW,10:05 am-11:25 am,Chaojun   Li,FERR 422
1723,CHEM,482,001,Lecture,Organic Chemistry: Natural Products.,MW,11:35 am-12:55 pm,Jean-Philip   Lumb,MAASS 328
1724,CHEM,493,001,Laboratory,Advanced Physical Chemistry Laboratory.,W,01:35 pm-05:25 pm,Sam   Sewall,MAASS 121
1725,CHEM,493,002,Laboratory,Advanced Physical Chemistry Laboratory.,M,01:35 pm-05:25 pm,Sam   Sewall,MAASS 121
1726,CHEM,493,003,Laboratory,Advanced Physical Chemistry Laboratory.,R,01:35 pm-05:25 pm,Sam   Sewall,MAASS 121
1727,CHEM,502,001,Lecture,Advanced Bio-Organic Chemistry.,TR,11:35 am-12:55 pm,"Karine   Auclair , Youla S   Tsantrizos",LEA 110
7019,CHEM,502,002,Midterm Exam,Advanced Bio-Organic Chemistry.,W,06:05 pm-08:55 pm,Karine   Auclair,MAASS 217
1728,CHEM,503,001,Lecture,Drug Discovery.,TR,04:05 pm-05:25 pm,Youla S   Tsantrizos,MAASS 217
1729,CHEM,505,001,Lecture,Computer Modeling of Molecules and Materials.,MW,10:05 am-11:25 am,Rustam   Khaliullin,FERR 476
1730,CHEM,531,001,Lecture,Chemistry of Inorganic Materials.,MWF,10:35 am-11:25 am,Mark P   Andrews,P&P 113
1731,CHEM,532,001,Lecture,Structural Organic Chemistry.,MW,01:05 pm-02:25 pm,James L   Gleason,P&P 113
7088,CHEM,532,002,Midterm Exam,Structural Organic Chemistry.,R,06:05 pm-08:55 pm,James L   Gleason,MAASS 217
1732,CHEM,533,001,Lecture,Small Molecule Crystallography.,TR,10:05 am-11:25 am,David Scott  Bohle,P&P 113
1733,CHEM,534,001,Lecture,Nanoscience and Nanotechnology.,MWF,11:35 am-12:25 pm,"Amy Szuchmacher  Blum , Mark P   Andrews , Ashok K   Kakkar",BURN 708
1734,CHEM,542,001,Lecture,Advanced Nucleic Acid Chemistry.,F,11:35 am-02:25 pm,"Masad J   Damha , Nathan   Luedtke",MAASS 328
1735,CHEM,555,001,Lecture,Magnetic Resonance Spectroscopy.,MW,11:35 am-12:55 pm,"Linda G   Reven , Anthony Karl  Mittermaier",P&P 113
1736,CHEM,572,001,Lecture,Synthetic Organic Chemistry.,MW,01:35 pm-02:55 pm,Jean-Philip   Lumb,TBA
7011,CHEM,572,002,Lecture,Synthetic Organic Chemistry.,TR,04:05 pm-05:25 pm,Jean-Philip   Lumb,P&P 113
1737,CHEM,574,001,Lecture,Introductory Polymer Chemistry.,TR,11:35 am-12:55 pm,Ashok K   Kakkar,P&P 113
1738,CHEM,577,001,Lecture,Electrochemistry.,MWF,08:35 am-09:25 am,Janine   Mauzeroll,FERR 476
1739,CHEM,585,001,Lecture,Colloid Chemistry.,TR,08:35 am-09:55 am,Theo   Van de Ven,P&P 113
1740,CHEM,593,001,Lecture,Statistical Mechanics.,MW,02:35 pm-03:55 pm,Yelena   Simine,P&P 113
1741,CHEM,612,001,Lecture,Organometallic Chemistry.,MW,08:35 am-09:55 am,Bruce A   Arndtsen,P&P 113
1742,CHEM,629,001,Lecture,Organic Synthesis.,MW,08:35 am-09:55 am,Jean-Philip   Lumb,TBA
7012,CHEM,629,002,Lecture,Organic Synthesis.,TR,04:05 pm-05:25 pm,Jean-Philip   Lumb,P&P 113
1743,CHEM,651,001,Seminar,Seminars in Chemistry 2.,MR,01:05 pm-01:55 pm,Marc-Andre   L̩gar̩,MAASS 10
1750,CIVE,202,001,Lecture,Construction Materials.,M,11:35 am-01:25 pm,Andrew J.  Boyd,SADB 1/12
1751,CIVE,202,002,Laboratory,Construction Materials.,F,11:35 am-01:25 pm,TBA,ENGMD 177
1752,CIVE,202,003,Tutorial,Construction Materials.,F,01:35 pm-02:25 pm,TBA,ENGMC 13
1753,CIVE,202,004,Laboratory,Construction Materials.,R,02:35 pm-04:25 pm,TBA,ENGMD 177
1754,CIVE,203,001,Laboratory,Solid Mechanics Laboratory.,T,12:35 pm-02:25 pm,TBA,ENGMD 079
1755,CIVE,205,001,Lecture,Statics.,TR,01:05 pm-02:25 pm,Matiyas Ayalew Dr Bezabeh,ENGTR 1080
1756,CIVE,205,002,Tutorial,Statics.,F,08:35 am-10:25 am,TBA,ENGMD 276
1757,CIVE,206,001,Lecture,Dynamics.,TR,01:05 pm-02:25 pm,Susan J   Gaskin,ENGTR 0100
1758,CIVE,206,002,Tutorial,Dynamics.,M,09:35 am-11:25 am,TBA,LEA 219
1759,CIVE,207,001,Lecture,Solid Mechanics.,MW,02:35 pm-04:25 pm,Daniele  Dr Malomo,MDHAR G-10
1760,CIVE,207,002,Tutorial,Solid Mechanics.,F,02:35 pm-04:25 pm,Daniele  Dr Malomo,MDHAR G-10
1766,CIVE,225,001,Lecture,Environmental Engineering.,MW,08:35 am-10:25 am,TBA,SADB 2/36
1767,CIVE,225,002,Tutorial,Environmental Engineering.,F,08:35 am-10:25 am,TBA,SADB 2/36
1768,CIVE,302,001,Lecture,Probabilistic Systems.,TR,04:05 pm-05:25 pm,Luc E   Chouinard,LEA 219
1769,CIVE,302,002,Tutorial,Probabilistic Systems.,M,11:35 am-01:25 pm,TBA,SADB 2/36
1770,CIVE,318,001,Lecture,Structural Engineering 2.,TR,01:05 pm-02:25 pm,Colin Andrew   Rogers,SADB 1/12
1771,CIVE,318,002,Tutorial,Structural Engineering 2.,M,04:05 pm-05:55 pm,TBA,RPHYS 112
1772,CIVE,319,001,Lecture,Transportation Engineering.,TR,10:05 am-11:25 am,Luis F.  Miranda-Moreno,SADB 1/12
1773,CIVE,319,002,Tutorial,Transportation Engineering.,F,01:35 pm-02:25 pm,TBA,MAASS 10
1774,CIVE,324,001,Lecture,Sustainable Project Management.,M,02:35 pm-05:25 pm,TBA,ENGMD 279
1775,CIVE,324,002,Tutorial,Sustainable Project Management.,W,04:35 pm-05:25 pm,TBA,MAASS 10
1776,CIVE,326,001,Laboratory,Fluids and Hydraulics Laboratory.,R,01:05 pm-02:25 pm,TBA,ENGTR 5130
1777,CIVE,327,001,Lecture,Fluid Mechanics and Hydraulics.,TR,08:35 am-09:55 am,Vincent H   Chu,ARTS W-120
1778,CIVE,327,002,Laboratory,Fluid Mechanics and Hydraulics.,W,01:35 pm-04:25 pm,Vincent H   Chu,TBA
1779,CIVE,327,003,Tutorial,Fluid Mechanics and Hydraulics.,F,02:35 pm-04:25 pm,TBA,ENGMC 13
1780,CIVE,416,001,Lecture,Geotechnical Engineering.,TR,01:05 pm-02:25 pm,Mohamed   Meguid,ENGTR 0070
1781,CIVE,416,002,Tutorial,Geotechnical Engineering.,T,02:35 pm-05:25 pm,TBA,RPHYS 115
1782,CIVE,418,001,Lecture,Design Project.,F,02:35 pm-04:25 pm,Colin Andrew   Rogers,TBA
1783,CIVE,421,001,Lecture,Municipal Systems.,T,01:05 pm-03:55 pm,TBA,MDHAR 409
1784,CIVE,421,002,Tutorial,Municipal Systems.,R,02:35 pm-05:25 pm,TBA,MDHAR 420
1786,CIVE,460,001,Lecture,Matrix Structural Analysis.,TR,11:35 am-12:55 pm,Yazhou   Xie,WONG 1050
1787,CIVE,463,001,Lecture,Design of Concrete Structures.,TR,10:05 am-11:25 am,Daniele  Dr Malomo,ENGMD 276
1788,CIVE,463,002,Tutorial,Design of Concrete Structures.,F,08:35 am-11:25 am,Daniele  Dr Malomo,ENGMD 279
1790,CIVE,512,001,Lecture,Advanced Civil Engineering Materials.,M,08:35 am-11:25 am,Yi   Shao,RPHYS 115
7524,CIVE,512,002,Tutorial,Advanced Civil Engineering Materials.,MW,12:35 pm-01:25 pm,TBA,TBA
1791,CIVE,520,001,Lecture,Groundwater Hydrology.,TR,11:35 am-12:55 pm,Mary   Kang,ADAMS 232
1792,CIVE,521,001,Lecture,Nanomaterials and the Aquatic Environment.,TR,01:05 pm-02:25 pm,Subhasis   Ghoshal,MDHAR G-01
1793,CIVE,540,001,Lecture,Urban Transportation Planning.,WF,10:05 am-11:25 am,Luis F.  Miranda-Moreno,ENGTR 2120
1794,CIVE,540,002,Tutorial,Urban Transportation Planning.,M,08:35 am-09:25 am,TBA,ADAMS 1
1795,CIVE,542,001,Lecture,Transportation Network Analysis.,TR,10:05 am-11:25 am,Lijun   Sun,WONG 1050
1796,CIVE,546,001,Lecture,Selected Topics in Civil Engineering 1.,F,08:35 am-11:25 am,Stephanie Katharine  Loeb,WONG 1050
1797,CIVE,550,001,Lecture,Water Resources Management.,F,02:35 pm-05:25 pm,Van-Thanh-Van   Nguyen,SH680 361
1798,CIVE,555,001,Lecture,Environmental Data Analysis.,W,02:35 pm-05:25 pm,Van-Thanh-Van   Nguyen,SH680 1085
1799,CIVE,561,001,Lecture,Greenhouse Gas Emissions.,R,02:35 pm-05:25 pm,Mary   Kang,LEA 116
1801,CIVE,609,001,Lecture,Risk Engineering.,M,11:35 am-02:25 pm,Luc E   Chouinard,LEA 116
1802,CIVE,612,001,Lecture,Earthquake-Resistant Design.,R,08:35 am-11:25 am,TBA,BURN 920
1804,CIVE,623,001,Lecture,Durability of Construction Materials.,M,02:35 pm-05:25 pm,Andrew J.  Boyd,FERR 105
1805,CIVE,628,001,Lecture,Advanced Design of Wood Buildings.,F,02:35 pm-05:25 pm,Matiyas Ayalew Dr Bezabeh,FERR 408
1813,CIVE,651,001,Lecture,Theory: Water / Wastewater Treatment.,TR,10:05 am-11:25 am,Jinxia   Liu,SH680 1261
1814,CIVE,660,001,Lecture,Chemical and Physical Treatment of Waters.,TR,08:35 am-09:55 am,TBA,BIRKS 017
1828,CLAS,203,001,Lecture,Greek Mythology.,TR,11:35 am-12:55 pm,Lynn   Kozak,ADAMS AUD
1829,CLAS,212,001,Lecture,Introductory Latin 2.,MWF,12:35 pm-01:25 pm,Martin   Sirois,BIRKS 203
1830,CLAS,212,002,Lecture,Introductory Latin 2.,MWF,04:35 pm-05:25 pm,Carolyn  Dr Tobin,SH680 495
1831,CLAS,222,001,Lecture,Introductory Ancient Greek 2.,MWF,01:35 pm-02:25 pm,Naomi   Kaloudis,LEA 617
5011,CLAS,230D2,001,Lecture,Introductory Modern Greek.,M,11:35 am-12:55 pm,TBA,LEA 210
1832,CLAS,302,001,Lecture,Roman Literature and Society.,TR,10:05 am-11:25 am,Charles William  Gladhill,BIRKS 203
1833,CLAS,306,001,Lecture,Classics in Modern Media.,TR,02:35 pm-03:55 pm,Lynn   Kozak,LEA 14
1834,CLAS,312,001,Lecture,Intermediate Latin 2.,MWF,12:35 pm-01:25 pm,Brahm Herscovitch  Kleinman,LEA 110
1835,CLAS,322,001,Lecture,Intermediate Ancient Greek 2.,MWF,02:35 pm-03:25 pm,Martin   Sirois,LEA 834
1836,CLAS,332,001,Lecture,Intermediate Modern Greek 2.,TR,01:05 pm-02:25 pm,Georgios   Kellaris,LEA 721
1838,CLAS,350,001,Lecture,Special Topics in Classics.,MW,01:05 pm-02:25 pm,Carolyn  Dr Tobin,BIRKS 111
1839,CLAS,406,001,Seminar,Greek and Roman Historiography.,TR,01:05 pm-02:25 pm,Charles William  Gladhill,LEA 808
1840,CLAS,412,001,Seminar,Advanced Latin: Themes.,WF,04:05 pm-05:25 pm,Michael Patrick  Fronda,LEA 808
1841,CLAS,422,001,Seminar,Advanced Ancient Greek: Themes.,MW,02:35 pm-03:55 pm,Naomi   Kaloudis,ARTS W-5
1842,CLAS,500,001,Seminar,Classics Seminar.,MW,10:05 am-11:25 am,Martin   Sirois,LEA 638
1843,CLAS,612,001,Seminar,Topics in Latin Literature.,WF,04:05 pm-05:25 pm,Michael Patrick  Fronda,LEA 808
1844,CLAS,622,001,Seminar,Topics in Ancient Greek Literature.,MW,02:35 pm-03:55 pm,Naomi   Kaloudis,ARTS W-5
1848,CMIS,422,754,Lecture,Information System Security.,M,06:05 pm-08:55 pm,Esaie   Kuitche Kamela,TBA
1850,CMIS,422,755,Lecture,Information System Security.,M,06:05 pm-08:55 pm,Karan   Sharma,TBA
1849,CMIS,422,774,Lecture,Information System Security.,W,06:05 pm-08:55 pm,Karan   Sharma,SH680 1261
7186,CMIS,543,701,Lecture,Digital Customer Experience.,F,06:05 pm-08:55 pm,Jean-Philippe   Harrisson-Boudreau,SH680 1041
7228,CMIS,641,701,Lecture,Information Systems for Managers.,F,06:05 pm-08:55 pm,TBA,ENGMD 280
6974,CMPL,500,001,Seminar,Indigenous Peoples and the State.,MW,04:05 pm-05:25 pm,Karen   Sloan,CDH 312
6975,CMPL,500,009,Seminar,Indigenous Peoples and the State.,MW,04:05 pm-05:25 pm,Karen   Sloan,CDH 312
5384,CMPL,506,001,Seminar,Legal Theory.,TR,11:35 am-12:55 pm,Joshua   Nichols,CDH 202
5385,CMPL,506,009,Seminar,Legal Theory.,TR,11:35 am-12:55 pm,Joshua   Nichols,CDH 202
5386,CMPL,513,001,Lecture,Talmudic Law.,MW,04:05 pm-05:25 pm,Michael   Whitman,CDH 202
5387,CMPL,513,002,Lecture,Talmudic Law.,MW,04:05 pm-05:25 pm,Michael   Whitman,CDH 202
5388,CMPL,513,009,Lecture,Talmudic Law.,MW,04:05 pm-05:25 pm,Michael   Whitman,CDH 202
6892,CMPL,524,001,Lecture,Entertainment Law.,F,08:35 am-11:25 am,Jon Adam  Mechanic,CDH 200
6893,CMPL,524,009,Lecture,Entertainment Law.,F,08:35 am-11:25 am,Jon Adam  Mechanic,CDH 200
5394,CMPL,546,001,Seminar,International Environmental Law and Politics.,MW,11:35 am-12:55 pm,Jaye Dana   Ellis,CDH 201
5395,CMPL,546,009,Seminar,International Environmental Law and Politics.,MW,11:35 am-12:55 pm,Jaye Dana   Ellis,CDH 201
6894,CMPL,576,001,Lecture,Science Technology and Law.,TR,01:05 pm-02:25 pm,Jennifer   Raso,CDH 201
6895,CMPL,576,009,Lecture,Science Technology and Law.,TR,01:05 pm-02:25 pm,Jennifer   Raso,CDH 201
6884,CMPL,600,001,Lecture,Legal Traditions.,MW,08:35 am-09:55 am,John David   Howes,CDH 316
6885,CMPL,600,009,Lecture,Legal Traditions.,MW,08:35 am-09:55 am,John David   Howes,CDH 316
5397,CMPL,611,009,Seminar,Legal Research Methodology 2.,M,10:05 am-11:25 am,Frederic Jean   Megret,CDH 312
5404,CMPL,642,009,Lecture,Law and Health Care.,TR,11:35 am-12:55 pm,Lara   Khoury,CDH 200
5405,CMPL,642,010,Lecture,Law and Health Care.,TR,11:35 am-12:55 pm,Lara   Khoury,CDH 200
7158,CMR2,642,761,Lecture,Marketing Principles and Applications.,T,06:05 pm-08:55 pm,Steven   Letovsky,ENGMC 13
6901,CMR2,643,751,Lecture,Marketing of Services.,M,06:05 pm-08:55 pm,Steven   Letovsky,WONG 1020
7156,CMR2,664,761,Lecture,Integrated Marketing Communications.,T,06:05 pm-08:55 pm,Kevin   Gardner Gregory,ARTS 260
7155,CMR2,668,771,Lecture,Buyer Behaviour.,W,06:05 pm-08:55 pm,TBA,ENGTR 0070
7157,CMR2,691,781,Lecture,Marketing Strategy.,R,06:05 pm-08:55 pm,Kevin   Gardner Gregory,ENGTR 2110
1860,CMRK,200,761,Lecture,Fundamentals of Marketing.,T,06:05 pm-08:55 pm,Charles   Royce,ENGTR 2100
1861,CMRK,320,771,Lecture,Principles of Consumer Behaviour.,W,06:05 pm-08:55 pm,Kevin   Gardner Gregory,LEA 210
1862,CMRK,321,761,Lecture,Integrated Marketing Communications.,T,06:05 pm-08:55 pm,Diana Veronica  Ms Ferraez Morlet,SH680 361
1863,CMRK,322,751,Lecture,Basics of Service Marketing.,M,06:05 pm-08:55 pm,Paul Joseph  Mirshak,LEA 14
