CRN,Subj,Crse,Sec,Type,Title,Days,Time,Instructor,Location
446,AEHM,205,002,Laboratory,Science Literacy.,M,08:35 am-11:25 am,"Carole   Newman , Emily   MacKenzie",MACSTW 2-028
492,AEHM,205,003,Break-Out Room,Science Literacy.,M,08:35 am-11:25 am,"Carole   Newman , Emily   MacKenzie",RAYMND 4-046/048
7251,AEHM,205,004,Laboratory,Science Literacy.,F,01:05 pm-03:55 pm,"Carole   Newman , Emily   MacKenzie",MACSTW 2-028
31,AEMA,102,001,Lecture,Calculus 2.,TR,11:35 am-12:55 pm,Fernando   Altamura,RAYMND 2-045
188,AEMA,102,002,Conference,Calculus 2.,F,01:05 pm-02:25 pm,Fernando   Altamura,MACSTW B-016
1014,AEMA,102,003,Conference,Calculus 2.,F,11:35 am-12:55 pm,Fernando   Altamura,MACSTW B-016
308,AEMA,305,001,Lecture,Differential Equations.,TR,11:35 am-12:55 pm,David   Titley-P̩loquin,CENTEN 1-162
309,AEMA,305,002,Conference,Differential Equations.,M,10:35 am-11:25 am,David   Titley-P̩loquin,RAYMND 1-042
32,AEMA,310,001,Lecture,Statistical Methods 1.,TR,11:35 am-12:55 pm,Jaskaran   Dhiman,RAYMND 2-046
33,AEMA,310,002,Laboratory,Statistical Methods 1.,W,04:05 pm-05:55 pm,Jaskaran   Dhiman,MACSTW 2-028
34,AEMA,310,003,Laboratory,Statistical Methods 1.,T,08:35 am-10:25 am,Jaskaran   Dhiman,MACSTW 2-028
35,AEMA,310,004,Laboratory,Statistical Methods 1.,M,01:35 pm-03:25 pm,Jaskaran   Dhiman,MACSTW 2-028
371,AEMA,310,005,Laboratory,Statistical Methods 1.,F,03:35 pm-05:25 pm,Jaskaran   Dhiman,MACSTW 2-028
599,AEMA,414,001,Lecture,Temporal and Spatial Statistics 01.,TR,08:35 am-09:55 am,Pierre R L   Dutilleul,RAYMND 3-045
600,AEMA,614,001,Lecture,Temporal and Spatial Statistics 1.,TR,08:35 am-09:55 am,Pierre R L   Dutilleul,RAYMND 3-045
97,AEPH,114,001,Lecture,Introductory Physics 2.,MW,08:35 am-09:55 am,David   Titley-P̩loquin,RAYMND 2-045
98,AEPH,114,002,Laboratory,Introductory Physics 2.,W,02:35 pm-04:25 pm,David   Titley-P̩loquin,MACSTW B-016
106,AEPH,114,003,Laboratory,Introductory Physics 2.,W,04:35 pm-06:25 pm,David   Titley-P̩loquin,MACSTW B-016
452,AEPH,114,004,Laboratory,Introductory Physics 2.,R,02:35 pm-04:25 pm,David   Titley-P̩loquin,MACSTW B-016
420,AEPH,114,005,Tutorial,Introductory Physics 2.,T,01:35 pm-02:25 pm,David   Titley-P̩loquin,MACSTW B-016
706,AEPH,114,006,Laboratory,Introductory Physics 2.,R,04:35 pm-06:25 pm,David   Titley-P̩loquin,MACSTW B-016
1013,AEPH,114,007,Tutorial,Introductory Physics 2.,R,01:35 pm-02:25 pm,David   Titley-P̩loquin,MACSTW B-016
410,AEPH,115,001,Lecture,Physics 2.,MW,08:35 am-09:55 am,David   Titley-P̩loquin,RAYMND 2-045
411,AEPH,115,002,Laboratory,Physics 2.,R,02:35 pm-04:25 pm,David   Titley-P̩loquin,MACSTW B-016
412,AEPH,115,003,Tutorial,Physics 2.,F,10:05 am-10:55 am,David   Titley-P̩loquin,MACSTW B-016
1054,AERO,410,001,Lecture,Aerospace Design and Certification Process.,W,05:35 pm-08:25 pm,TBA,ENGTR 0060
4986,AERO,460D2,001,Lecture,Aerospace Project.,TR,11:35 am-12:55 pm,TBA,LEA 116
1055,AFRI,598,001,Seminar,Research Seminar in African Studies.,W,02:35 pm-05:25 pm,TBA,MOR 313
85,AGEC,231,001,Lecture,Economic Systems of Agriculture.,WF,02:35 pm-03:55 pm,Mary Kathryn  Doidge,RAYMND 4-046/048
86,AGEC,320,001,Lecture,Intermediate Microeconomic Theory.,TR,04:05 pm-05:25 pm,Kakali   Mukhopadhyay,RAYMND 4-047
87,AGEC,430,001,Lecture,"Agriculture, Food and Resource Policy.",F,01:05 pm-03:55 pm,Gordon Maxwell  Hickey,CENTEN 1-162
88,AGEC,442,001,Lecture,Economics of International Agricultural Development.,MW,08:35 am-09:55 am,Aurelie Patricia  Harou,RAYMND 4-045
771,AGEC,450,001,Lecture,Agribusiness Management.,T,08:35 am-09:55 am,Mary Kathryn  Doidge,CENTEN 1-162
89,AGEC,642,001,Lecture,Economics of Agricultural Development.,MW,08:35 am-09:55 am,Aurelie Patricia  Harou,RAYMND 4-045
